d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
5,2.8284271247461903,0.1,0.44795527966520177,1.0345494857640622,5,-0.024501327750680438,no_guarantee,,,,,5.551115123125783e-17,
6,2.8284271247461903,0.1,0.44795527966520177,1.197856608094382,6,-0.11217195667640628,no_guarantee,,,,,5.551115123125783e-17,
7,2.8284271247461903,0.1,0.44795527966520177,1.3451515099971543,7,-0.1654835141880963,no_guarantee,,,,,5.551115123125783e-17,
8,2.8284271247461903,0.1,0.44795527966520177,1.480108360413667,8,-0.20150740350571128,no_guarantee,,,,,5.551115123125783e-17,
3,3.363585661014858,0.1,0.4610016961651922,0.6419635238463278,3,0.6394367686628732,finite,4.474936391476962,4.603176862263869,40103,4.010300e+4,5.551115123125783e-17,0.0
4,3.363585661014858,0.1,0.4610016961651922,0.8594082408984549,4,0.1379114544046708,finite,3.9777582663692277,19.77731637450431,,5.988477e+19,5.551115123125783e-17,0.0
5,3.363585661014858,0.1,0.4610016961651922,1.044672937700569,5,-0.03152566971171905,no_guarantee,,,,,5.551115123125783e-17,
6,3.363585661014858,0.1,0.4610016961651922,1.207931150448513,6,-0.11737582529097645,no_guarantee,,,,,5.551115123125783e-17,
7,3.363585661014858,0.1,0.4610016961651922,1.3550729418311198,7,-0.16958486320900418,no_guarantee,,,,,5.551115123125783e-17,
8,3.363585661014858,0.1,0.4610016961651922,1.4898302645158115,8,-0.20487184222231258,no_guarantee,,,,,5.551115123125783e-17,
3,4.0,0.1,0.47116142903354874,0.6488139785908381,3,0.6241231923691162,finite,4.631969428842723,4.825393658073357,66895,6.689500e+4,1.6653345369377348e-16,0.0
4,4.0,0.1,0.47116142903354874,0.8667258188279021,4,0.13019387726805745,finite,4.150537444304328,21.526016182957555,,3.357501e+21,1.6653345369377348e-16,0.0
5,4.0,0.1,0.47116142903354874,1.0520771652252192,5,-0.03662026191825466,no_guarantee,,,,,1.6653345369377348e-16,
6,4.0,0.1,0.47116142903354874,1.2152657070774822,6,-0.12113716244037563,no_guarantee,,,,,1.6653345369377348e-16,
7,4.0,0.1,0.47116142903354874,1.3622708293342267,7,-0.17254159392705554,no_guarantee,,,,,1.942890293094024e-16,
8,4.0,0.1,0.47116142903354874,1.496864080707855,8,-0.20729235985583477,no_guarantee,,,,,1.942890293094024e-16,
3,4.756828460010884,0.1,0.4789035296154932,0.653839736068875,3,0.6129910376238847,finite,4.793892264109831,5.027744982347407,106597,1.065970e+5,5.551115123125783e-17,0.0
4,4.756828460010884,0.1,0.4789035296154932,0.8720553951050439,4,0.1246138715235398,finite,4.3239943539114805,23.094434451793223,,1.242895e+23,5.551115123125783e-17,0.0
5,4.756828460010884,0.1,0.4789035296154932,1.0574437765514404,5,-0.04029047921552263,no_guarantee,,,,,1.1102230246251565e-16,
6,4.756828460010884,0.1,0.4789035296154932,1.2205634014741205,6,-0.12383985433264447,no_guarantee,,,,,1.1102230246251565e-16,
7,4.756828460010884,0.1,0.4789035296154932,1.3674562515263755,7,-0.17466198371251318,no_guarantee,,,,,1.1102230246251565e-16,
8,4.756828460010884,0.1,0.4789035296154932,1.5019209934819275,8,-0.20902555612775187,no_guarantee,,,,,1.1102230246251565e-16,
3,5.656854249492381,0.1,0.48469908240254195,0.657490915753924,3,0.6049571333908663,finite,4.959244629345259,5.213217498629286,163387,1.633870e+5,5.551115123125783e-17,0.0
4,5.656854249492381,0.1,0.48469908240254195,0.8759060913331023,4,0.12060341654054055,finite,4.49771851538012,24.48798232337734,,3.075972e+24,5.551115123125783e-17,0.0
5,5.656854249492381,0.1,0.48469908240254195,1.061307218650319,5,-0.04292116821437358,no_guarantee,,,,,5.551115123125783e-17,
6,5.656854249492381,0.1,0.48469908240254195,1.2243674333688266,6,-0.1257733076491247,no_guarantee,,,,,8.326672684688674e-17,
7,5.656854249492381,0.1,0.48469908240254195,1.371172510592692,7,-0.17617667236085,no_guarantee,,,,,8.326672684688674e-17,
8,5.656854249492381,0.1,0.48469908240254195,1.5055397435396163,8,-0.2102622609204028,no_guarantee,,,,,8.326672684688674e-17,
3,6.727171322029716,0.1,0.48897611557682674,0.6601239862676284,3,0.5991910740919375,finite,5.126988700546075,5.384965977031357,242642,2.426420e+5,5.551115123125783e-17,0.0
4,6.727171322029716,0.1,0.48897611557682674,0.8786717318316699,4,0.117733898277893,finite,4.671496731130793,25.725855483100936,,5.319312e+25,5.551115123125783e-17,4.618527782440651e-14
5,6.727171322029716,0.1,0.48897611557682674,1.0640746235847087,5,-0.044799665316373326,no_guarantee,,,,,5.551115123125783e-17,
6,6.727171322029716,0.1,0.48897611557682674,1.2270871567355162,6,-0.1271519665402172,no_guarantee,,,,,5.551115123125783e-17,
7,6.727171322029716,0.1,0.48897611557682674,1.3738257581552444,7,-0.17725558460465538,no_guarantee,,,,,1.3877787807814457e-16,
8,6.727171322029716,0.1,0.48897611557682674,1.508120572646793,8,-0.21114244248381145,no_guarantee,,,,,1.3877787807814457e-16,
3,8.0,0.1,0.4920976306872053,0.662012485013179,3,0.5950696695516197,finite,5.296397678419065,5.5458993821109805,351479,3.514790e+5,0.0,0.0
4,8.0,0.1,0.4920976306872053,0.8806493802246467,4,0.11568750221109124,finite,4.845232169155531,26.833128343804432,,6.809706e+26,0.0,0.0
5,8.0,0.1,0.4920976306872053,1.0660496919375233,5,-0.046137344114658536,no_guarantee,,,,,1.6653345369377348e-16,
6,8.0,0.1,0.4920976306872053,1.229025546404115,6,-0.1281326947180431,no_guarantee,,,,,1.6653345369377348e-16,
7,8.0,0.1,0.4920976306872053,1.375714854433165,7,-0.1780224944428711,no_guarantee,,,,,1.6653345369377348e-16,
8,8.0,0.1,0.4920976306872053,1.5099566708714862,8,-0.2117677200193897,no_guarantee,,,,,1.6653345369377348e-16,
3,9.513656920021768,0.1,0.49435658151714323,0.663361544377944,3,0.5921327145722602,finite,5.466966363169275,5.69850853851449,499469,4.994690e+5,1.1102230246251565e-16,0.0
4,9.513656920021768,0.1,0.49435658151714323,0.8820590529124372,4,0.1142316293888428,finite,5.018890899175564,27.83534332652145,,6.844525e+27,1.1102230246251565e-16,0.0
5,9.513656920021768,0.1,0.49435658151714323,1.0674555496807503,5,-0.04708799764404285,no_guarantee,,,,,1.1102230246251565e-16,
6,9.513656920021768,0.1,0.49435658151714323,1.230403939831305,6,-0.12882915223743555,no_guarantee,,,,,1.1102230246251565e-16,
7,9.513656920021768,0.1,0.49435658151714323,1.3770572177420386,7,-0.17856680924054832,no_guarantee,,,,,1.1102230246251565e-16,
8,9.513656920021768,0.1,0.49435658151714323,1.5112606431019033,8,-0.21221132214375074,no_guarantee,,,,,1.1102230246251565e-16,
3,11.313708498984761,0.1,0.49598096723041735,0.6643224547959509,3,0.5900444150405738,finite,5.638344400654499,5.844817519285213,699548,6.995480e+5,1.5265566588595902e-14,0.0
4,11.313708498984761,0.1,0.49598096723041735,0.8830615624065752,4,0.11319767900966851,finite,5.192469665078793,28.755544737942213,,5.695669e+28,1.5265566588595902e-14,0.0
5,11.313708498984761,0.1,0.49598096723041735,1.0684543378889457,5,-0.0477626267134977,no_guarantee,,,,,1.5265566588595902e-14,
6,11.313708498984761,0.1,0.49598096723041735,1.2313825262080909,6,-0.1293231267903019,no_guarantee,,,,,1.5265566588595902e-14,
7,11.313708498984761,0.1,0.49598096723041735,1.3780097286302877,7,-0.17895272107511806,no_guarantee,,,,,1.5265566588595902e-14,
8,11.313708498984761,0.1,0.49598096723041735,1.5121855420210106,8,-0.21252573424643934,no_guarantee,,,,,1.5265566588595902e-14,
3,13.454342644059432,0.1,0.49714357623143074,0.6650054616797147,3,0.5885619053925095,finite,5.810288614396965,5.986416094032148,969206,9.692060e+5,1.3322676295501878e-15,0.0
4,13.454342644059432,0.1,0.49714357623143074,0.883773335859622,4,0.11246429508894223,finite,5.365978024731946,29.613084255063715,,4.102837e+29,1.3322676295501878e-15,1.0658141036401503e-14
5,13.454342644059432,0.1,0.49714357623143074,1.0691629577481605,5,-0.04824087995195136,no_guarantee,,,,,1.3322676295501878e-15,
6,13.454342644059432,0.1,0.49714357623143074,1.232076464099148,6,-0.1296731775662469,no_guarantee,,,,,1.3322676295501878e-15,
7,13.454342644059432,0.1,0.49714357623143074,1.3786849251631057,7,-0.1792261168732296,no_guarantee,,,,,1.3322676295501878e-15,
8,13.454342644059432,0.1,0.49714357623143074,1.5128409785556491,8,-0.21274842832972035,no_guarantee,,,,,1.3322676295501878e-15,
3,16.0,0.1,0.4979728347214443,0.6654902088320642,3,0.587510654555362,finite,5.98262980597113,6.124524113240291,1332061,1.332061e+6,1.6653345369377348e-16,0.0
4,16.0,0.1,0.4979728347214443,0.884278093305705,4,0.11194457034308934,finite,5.539429278774642,30.423481534005305,,2.651438e+30,1.6653345369377348e-16,2.842170943040401e-14
5,16.0,0.1,0.4979728347214443,1.0696652203800923,5,-0.04857966912119899,no_guarantee,,,,,1.6653345369377348e-16,
6,16.0,0.1,0.4979728347214443,1.2325681441812006,6,-0.129921081880429,no_guarantee,,,,,1.6653345369377348e-16,
7,16.0,0.1,0.4979728347214443,1.379163200053184,7,-0.17941969555423137,no_guarantee,,,,,1.6653345369377348e-16,
8,16.0,0.1,0.4979728347214443,1.5133051623550182,8,-0.21290608316581477,no_guarantee,,,,,1.6653345369377348e-16,
3,19.027313840043536,0.1,0.4985628573155409,0.6658338774913549,3,0.5867658185134484,finite,6.15524990065553,6.260063274715672,1819966,1.819966e+6,1.1102230246251565e-16,0.0
4,19.027313840043536,0.1,0.4985628573155409,0.8846357436465464,4,0.11157649433250501,finite,5.712836344986843,31.198805101999067,,1.580539e+31,1.1102230246251565e-16,6.039613253960852e-14
5,19.027313840043536,0.1,0.4985628573155409,1.0700209728242855,5,-0.048819537141743835,no_guarantee,,,,,1.1102230246251565e-16,
6,19.027313840043536,0.1,0.4985628573155409,1.2329163124024853,6,-0.1300965679435011,no_guarantee,,,,,1.1102230246251565e-16,
7,19.027313840043536,0.1,0.4985628573155409,1.3795018123287404,7,-0.1795567061077923,no_guarantee,,,,,1.1102230246251565e-16,
8,19.027313840043536,0.1,0.4985628573155409,1.5136337510478963,8,-0.21301765541096787,no_guarantee,,,,,1.1102230246251565e-16,
3,22.627416997969522,0.1,0.49898191350728466,0.6660773405800454,3,0.5862383914750098,finite,6.328066264096012,6.393720294802729,2475827,2.475827e+6,0.0,0.0
4,22.627416997969522,0.1,0.49898191350728466,0.8848890085623529,4,0.11131593661791891,finite,5.886210206722878,31.9482431730253,,8.876529e+31,5.551115123125783e-17,3.197442310920451e-14
5,22.627416997969522,0.1,0.49898191350728466,1.0702728283418261,5,-0.048989303884821575,no_guarantee,,,,,5.551115123125783e-17,
6,22.627416997969522,0.1,0.49898191350728466,1.2331627541585495,6,-0.13022075120669235,no_guarantee,,,,,5.551115123125783e-17,
7,22.627416997969522,0.1,0.49898191350728466,1.3797414583041707,7,-0.17965365222867824,no_guarantee,,,,,5.551115123125783e-17,
8,22.627416997969522,0.1,0.49898191350728466,1.513866279318411,8,-0.21309659571934642,no_guarantee,,,,,5.551115123125783e-17,
3,26.908685288118864,0.1,0.49927916291519553,0.6662497221321924,3,0.5858650687094951,finite,6.501020921435695,6.526003603510127,3357404,3.357404e+6,2.7755575615628914e-16,0.0
4,26.908685288118864,0.1,0.49927916291519553,0.8850682783922388,4,0.11113154975946354,finite,6.059559589716898,32.6786884592035,,4.771868e+32,2.7755575615628914e-16,7.105427357601002e-15
5,26.908685288118864,0.1,0.49927916291519553,1.0704510677125707,5,-0.04910942449324404,no_guarantee,,,,,2.7755575615628914e-16,
6,26.908685288118864,0.1,0.49927916291519553,1.2333371398652238,6,-0.13030861006457245,no_guarantee,,,,,2.7755575615628914e-16,
7,26.908685288118864,0.1,0.49927916291519553,1.3799110192492348,7,-0.17972223605666177,no_guarantee,,,,,3.0531133177191805e-16,
8,26.908685288118864,0.1,0.49927916291519553,1.5140307922614644,8,-0.21315243838956807,no_guarantee,,,,,3.0531133177191805e-16,
3,32.0,0.1,0.4994898189411651,0.6663717281661765,3,0.5856009014163154,finite,6.674073116852422,6.657286809314943,4542415,4.542415e+6,4.996003610813204e-16,0.0
4,32.0,0.1,0.4994898189411651,0.8851951337356783,4,0.11100109605510247,finite,6.232891156494306,33.39525795068629,,2.484608e+33,4.996003610813204e-16,0.0
5,32.0,0.1,0.4994898189411651,1.0705771774178807,5,-0.04919440134821218,no_guarantee,,,,,4.996003610813204e-16,
6,32.0,0.1,0.4994898189411651,1.233460511803416,6,-0.13037075970636028,no_guarantee,,,,,4.996003610813204e-16,
7,32.0,0.1,0.4994898189411651,1.3800309698329138,7,-0.17977074844983473,no_guarantee,,,,,4.996003610813204e-16,
8,32.0,0.1,0.4994898189411651,1.5141471658408534,8,-0.21319193685392554,no_guarantee,,,,,4.996003610813204e-16,
