d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
7,0.10511205190671431,0.1,0.041742407040051784,0.2464871969234949,7,0.781603362704753,finite,2.0281640885224683,2.4065401804339546,255,2.550000e+2,1.3877787807814457e-17,0.0
8,0.10511205190671431,0.1,0.041742407040051784,0.2868244260949255,8,0.6417999344905702,finite,1.934372224390994,2.867467487859051,737,7.370000e+2,1.3877787807814457e-17,0.0
3,0.125,0.1,0.04954740454867798,0.09834664869784872,3,3.3459802983219755,finite,5.67752345525441,1.041392685158225,11,1.100000e+1,2.0816681711721685e-17,0.0
4,0.125,0.1,0.04954740454867798,0.14697116951314904,4,1.7454008634148324,finite,3.101079304276254,1.3617278360175928,23,2.300000e+1,2.0816681711721685e-17,0.0
5,0.125,0.1,0.04954740454867798,0.19524033273322974,5,1.1783384896828746,finite,2.4360210676959557,1.7481880270062005,56,5.600000e+1,2.0816681711721685e-17,0.0
6,0.125,0.1,0.04954740454867798,0.2431616375629904,6,0.8785855426243958,finite,2.1568062195834448,2.2068258760318495,161,1.610000e+2,2.0816681711721685e-17,0.0
7,0.125,0.1,0.04954740454867798,0.29074229778343974,7,0.6894440911329902,finite,2.011599663900336,2.717670503002262,522,5.220000e+2,2.0816681711721685e-17,0.0
8,0.125,0.1,0.04954740454867798,0.33798925835601684,8,0.5574466860880039,finite,1.9265167293685603,3.2949069106051923,1972,1.972000e+3,2.0816681711721685e-17,0.0
3,0.14865088937534013,0.1,0.05876721338561608,0.11629646939506585,3,3.1041207956991568,finite,5.420466188966627,1.1139433523068367,13,1.300000e+1,1.3877787807814457e-17,0.0
4,0.14865088937534013,0.1,0.05876721338561608,0.17354433665682495,4,1.5941221371856826,finite,3.0077685665070906,1.447158031342219,28,2.800000e+1,1.3877787807814457e-17,0.0
5,0.14865088937534013,0.1,0.05876721338561608,0.23021558159886957,5,1.0594713063500838,finite,2.3896718727658492,1.9242792860618814,84,8.400000e+1,1.3877787807814457e-17,0.0
6,0.14865088937534013,0.1,0.05876721338561608,0.28632675487085585,6,0.7770549028998198,finite,2.1327655861724644,2.4800069429571505,302,3.020000e+2,1.3877787807814457e-17,0.0
