h,log_rms_lower_bound,rms_lower_bound,level,tau,b,delta,eps,lam,A,B,truncation_power,absolute_error_lower_bound,tail_threshold
14,-7.138001925823009,0.0007943376574659153,4,20.326530612244902,0.11813295959634018,2.4138360067415707,0.061987595942434116,0.7287321949197676,2.186196584759303,0.15137213978814648,2,2.0957102504070127e-08,29.558284926426175
15,-7.2852821857815275,0.0006855547552518577,4,20.326530612244902,0.11813295959634018,2.4088863069174495,0.058050166171356034,0.7390949736435614,2.217284920930684,0.1468775148022671,2,1.552533027857611e-08,29.72595709477858
16,-7.434997919400752,0.0005902302048803506,4,20.326530612244902,0.11813295959634018,2.407433465833644,0.05433456836376591,0.7489138512299972,2.2467415536899917,0.14244895231680413,2,1.1445214917921202e-08,29.89529467080122
17,-7.58775855617066,0.0005066153320889173,4,20.326530612244902,0.11813295959634018,2.4091264054353956,0.050815142155753064,0.7582479294513751,2.274743788354125,0.13807165124110263,2,8.385759254918502e-09,30.06694870985828
18,-7.744199779748567,0.00043324820185159285,4,20.326530612244902,0.11813295959634018,2.413715418030617,0.04747051011326903,0.7671468660186151,2.301440598055845,0.13373207218265168,2,6.098671253526198e-09,30.24158207574338
19,-7.905001045615817,0.00036889406361520055,4,20.326530612244902,0.11813295959634018,2.421031641394739,0.044282666261197354,0.7756528201531661,2.3269584604594984,0.12941753382498628,2,4.396461505702649e-09,30.419887788287973
20,-8.070904616071251,0.00031250046022426593,4,20.326530612244902,0.11813295959634018,2.4309737489242624,0.041236301693959955,0.7838019014886097,2.3514057044658294,0.12511587896474682,2,3.136839864070445e-09,30.602608102507272
21,-8.242737500947642,0.0002631628539327364,4,20.326530612244902,0.11813295959634018,2.443499946303469,0.03831827778710663,0.7916253187246761,2.3748759561740282,0.12081515244382322,2,2.211433621836254e-09,30.790555716212655
22,-8.421437970743135,0.0002200979307811147,4,20.326530612244902,0.11813295959634018,2.45862401467732,0.03551724626202674,0.7991502018569984,2.397450605570995,0.1165033319445488,2,1.537523446082284e-09,30.984638690041002
23,-8.511604713868746,0.00020112082444357206,5,20.326530612244902,0.11813295959634018,2.454487151676208,0.07525875132478035,0.6941603203314688,2.082480960994406,0.16521403254558872,2,1.27993310248244e-09,31.08204398168744
24,-8.58029628704876,0.00018776933554150342,5,20.326530612244902,0.11813295959634018,2.446267913570072,0.07330715820269286,0.6992074182534251,2.0976222547602754,0.16329349072947097,2,1.113076891721641e-09,31.156017918017252
25,-8.648541195198117,0.00017538251048006148,5,20.326530612244902,0.11813295959634018,2.439072060111808,0.07142712795228198,0.7040819551545716,2.1122458654637146,0.16140791954356612,2,9.688629180177463e-10,31.229313840818676
26,-8.716411537597025,0.00016387419345567446,5,20.326530612244902,0.11813295959634018,2.4328040058905995,0.06961327087306733,0.7087962872214252,2.1263888616642754,0.15955468261917718,2,8.439854768668955e-10,31.30201433636308
27,-8.783973850196954,0.00015316820671005448,5,20.326530612244902,0.11813295959634018,2.4273815432384436,0.0678607891773782,0.7133614624938307,2.140084387481492,0.15773139166922864,2,7.356719853871073e-10,31.374195141618696
28,-8.851289932382171,0.00014319690276865093,5,20.326530612244902,0.11813295959634018,2.4227336150091277,0.06616539204622159,0.717787403743573,2.1533622112307187,0.1559358724478997,2,6.415867767971786e-10,31.445926129788795
29,-8.918417544116213,0.0001338999680181139,5,20.326530612244902,0.11813295959634018,2.4187985509543797,0.06452323530288255,0.7220830344275659,2.1662491032826976,0.15416614696944853,2,5.597543174765196e-10,31.517272139192734
30,-8.985410998810583,0.00012522342717260858,5,20.326530612244902,0.11813295959634018,2.415522589693749,0.06293085336988469,0.7262564305555206,2.178769291666562,0.15242039974515328,2,4.884974938700638e-10,31.588293675965005
31,-9.052321671752498,0.0001171188095982261,5,20.326530612244902,0.11813295959634018,2.412858710211627,0.0613851146945711,0.7303149159429999,2.1909447478289996,0.15069696231013593,2,4.2638768821122033e-10,31.659047514411593
32,-9.119198439772967,0.00010954244702339775,5,20.326530612244902,0.11813295959634018,2.410765659892716,0.059883179754199475,0.7342651543799479,2.202795463139844,0.14899429538077466,2,3.722041467981272e-10,31.729587213848383
33,-9.18608806466694,0.00010245487864299916,5,20.326530612244902,0.11813295959634018,2.4092071460904636,0.058422458191470156,0.7381132472187535,2.2143397416562607,0.14731096508213473,2,3.249007251548368e-10,31.799963566920653
34,-9.2530355304389,9.582034457608506e-05,5,20.326530612244902,0.11813295959634018,2.40815119290519,0.057000596455982114,0.7418647531344942,2.2255942594034828,0.1456456502452835,2,2.8357852809456323e-10,31.87022499145767
35,-9.320084342556862,8.960635245539416e-05,5,20.326530612244902,0.11813295959634018,2.407569564715238,0.05561543626704081,0.7455247867002535,2.2365743601007604,0.14399711325251457,2,2.474632895609863e-10,31.94041787563138
36,-9.387276795922388,8.378330489487963e-05,5,20.326530612244902,0.11813295959634018,2.407437308823718,0.054264990368474354,0.7490980732660955,2.2472942197982864,0.14236418723576988,2,2.1588658553890215e-10,32.010586884402464
37,-9.454654217105457,7.832417790672485e-05,5,20.326530612244902,0.11813295959634018,2.4077323680695706,0.05294744005953162,0.7525889475598705,2.2577668426796116,0.14074578748233274,2,1.8827016360919395e-10,32.080775233831844
38,-9.522257185479429,7.320424217400584e-05,5,20.326530612244902,0.11813295959634018,2.4084352424765423,0.051661105795693156,0.7560014246192049,2.2680042738576147,0.13914088875529115,2,1.6411281955481001e-10,32.151024938724944
39,-9.590125737168062,6.840082054279285e-05,5,20.326530612244902,0.11813295959634018,2.4095287093778532,0.050404435790669444,0.7593392241426783,2.2780176724280348,0.137548522270624,2,1.429793655141447e-10,32.2213770381928
40,-9.658299555143328,6.389307626298336e-05,5,20.326530612244902,0.11813295959634018,2.4109975921713658,0.049175987051587926,0.7626058157510438,2.2878174472531314,0.13596776161310345,2,1.2449132340727855e-10,32.29187180301084
41,-9.726818148358566,5.9661827444757484e-05,5,20.326530612244902,0.11813295959634018,2.412828535020983,0.047974432627752084,0.7658043952482363,2.297413185744709,0.13439774101268442,2,1.0831904757732296e-10,32.362548928093744
42,-9.795721022443699,5.5689383956116374e-05,5,20.326530612244902,0.11813295959634018,2.4150098604588575,0.04679852590686638,0.7689379756933704,2.3068139270801113,0.13283761717623324,2,9.417503616720115e-11,32.43344771295694
43,-9.865047844208277,5.19594036041317e-05,5,20.326530612244902,0.11813295959634018,2.4175313871351607,0.04564711558425927,0.7720093441801305,2.3160280325403915,0.13128659568522158,2,8.180823498689314e-11,32.5046072326777
44,-9.934838601983207,4.8456764947107926e-05,5,20.326530612244902,0.11813295959634018,2.4203843246146612,0.04451912350487643,0.775021117857057,2.3250633535711707,0.12974390815948764,2,7.099917301660616e-11,32.576066501587725
45,-10.005133763669393,4.5167454499590364e-05,5,20.326530612244902,0.11813295959634018,2.423561155314786,0.04341354336575293,0.7779757447772623,2.333927234331787,0.12820881597303677,2,6.155579714725432e-11,32.64786463170831
46,-10.07597443424693,4.207846643445973e-05,5,20.326530612244902,0.11813295959634018,2.4270555427721887,0.04232943385412006,0.7808755198821477,2.342626559646443,0.12668060599609612,2,5.330989674732125e-11,32.72004098777252
